time,lon,lat,depth,mag
2023-12-27T21:06:14.561000Z,-175.0577,51.6489,14.3,1.8
2023-12-27T20:23:30.260000Z,-177.0894,51.3721,45.6,2.0
2023-12-27T19:56:20.252000Z,62.1198,34.4841,9.976,4.3
2023-12-27T19:26:30.808000Z,-178.9014,51.3599,25.74,2.9
2023-12-27T19:25:33.444000Z,-178.9273,51.377,27.685,3.04
2023-12-27T19:12:30.590000Z,-168.198,53.441333,2.93,0.66
2023-12-27T19:01:41.820000Z,-177.187,51.931,10.5,-0.14
2023-12-27T18:52:52.803000Z,160.209,53.4551,61.978,4.2
2023-12-27T18:52:39.892000Z,123.7166,-9.9602,10.0,5.0
2023-12-27T17:57:31.412000Z,125.8418,11.1524,47.332,4.0
2023-12-27T17:56:24.100000Z,-177.1745,51.931667,8.59,0.46
2023-12-27T17:54:16.580000Z,-177.196333,51.9465,7.02,0.81
2023-12-27T17:22:35.132000Z,128.5912,2.6771,224.789,4.4
2023-12-27T17:08:22.331000Z,177.631,51.6291,53.761,2.6
2023-12-27T16:19:10.060000Z,179.684167,51.8845,7.82,0.38
2023-12-27T16:18:05.287000Z,-173.2837,52.3258,178.614,3.2
2023-12-27T15:31:18.268000Z,127.9177,8.8925,10.0,4.4
2023-12-27T15:06:31.030000Z,-177.914,51.867833,6.61,0.44
2023-12-27T14:54:20.460000Z,-175.2919,51.3534,35.0,3.9
2023-12-27T14:21:01.651000Z,-168.3862,52.2844,35.0,2.5
2023-12-27T14:06:56.300000Z,-177.102167,51.9335,5.13,0.59
2023-12-27T13:17:16.404000Z,126.2602,8.8827,10.0,4.4
2023-12-27T11:29:46.476000Z,177.7594,51.461,35.0,2.9
2023-12-27T11:13:53.420000Z,-174.180167,52.263333,9.06,0.94
2023-12-27T10:17:14.380000Z,-166.242333,54.056,9.53,0.31
2023-12-27T09:00:05.608000Z,73.6254,38.6772,102.533,4.2
2023-12-27T08:12:46.216000Z,-175.2232,51.5891,44.283,2.7
2023-12-27T07:43:56.160000Z,179.7535,51.745333,9.36,1.38
2023-12-27T07:13:46.560000Z,-166.123,54.083833,13.72,-0.01
2023-12-27T06:31:03.881000Z,-178.0686,51.2567,23.0,2.2
2023-12-27T06:19:09.450000Z,179.6885,51.8465,4.41,1.03
2023-12-27T05:41:09.360000Z,-174.1705,52.321167,4.5,0.62
2023-12-27T05:09:19.806000Z,108.7206,57.0045,10.0,5.3
2023-12-27T04:31:53.450000Z,-166.227333,54.058667,9.79,0.77
2023-12-27T03:42:25.660000Z,-166.896,53.894,3.65,0.2
2023-12-27T03:40:55.503000Z,145.2254,20.2049,10.0,4.2
2023-12-27T03:40:53.100000Z,-179.5049,51.3958,33.7,2.2
2023-12-27T03:33:27.598000Z,-179.5366,51.3853,33.0,2.3
2023-12-27T02:06:58.589000Z,-175.3559,51.3405,42.717,2.7
2023-12-26T23:44:08.369000Z,121.2383,19.203,47.02,4.2
