time,lat,lon,dep,mag
2022-03-07T21:40:52.180000Z,51.7611,-176.7679,74.62,4.2
2022-03-07T21:30:31.716000Z,51.0309,-176.6853,10.0,4.1
2022-03-07T17:55:38.242000Z,50.9062,-176.5896,10.0,4.0
2022-03-02T15:27:10.142000Z,53.4102,-164.1832,29.4,4.3
2022-02-28T14:28:00.010000Z,52.9254,-166.883,35.0,4.5
2022-02-25T18:01:34.547000Z,52.2791,-173.8379,171.28,4.2
2022-02-24T13:16:32.972000Z,54.6281,-158.1852,10.0,4.0
2022-02-22T07:32:31.514000Z,52.8524,-168.2926,48.65,4.0
2022-02-22T04:10:05.019000Z,53.3092,-166.7035,46.56,5.1
2022-02-21T03:55:55.806000Z,59.8859,-152.3093,84.3,4.1
2022-02-21T02:33:05.411000Z,53.1893,-166.801,36.6,5.1
2022-02-20T22:09:03.200000Z,51.0283,-179.5188,35.0,4.0
2022-02-20T12:58:15.813000Z,61.7987,-151.7999,108.0,4.2
2022-02-20T11:47:08.904000Z,55.277,-157.8121,26.1,5.3
2022-02-20T00:49:23.533000Z,53.882,-164.1493,48.23,4.0
2022-02-17T09:45:06.932000Z,54.4937,-159.7735,26.61,4.4
2022-02-14T20:05:54.242000Z,54.5807,-161.1545,35.0,4.0
2022-02-14T03:35:56.895000Z,53.0324,-166.6515,10.0,4.0
2022-02-13T22:31:49.945000Z,54.7005,-156.7352,19.7,4.0
2022-02-12T03:04:28.109000Z,52.5725,-167.8768,40.83,4.0
2022-02-11T01:05:51.134000Z,55.0186,-157.8578,13.2,4.7
2022-02-10T11:53:57.287000Z,53.2326,-166.842,42.69,4.1
2022-02-08T21:20:16.928000Z,52.7896,-167.5659,16.56,4.3
2022-02-08T04:58:11.061000Z,54.958,-156.3009,32.6,4.5
2022-02-07T19:08:19.180000Z,62.5149,-151.5482,97.1,4.1
2022-02-05T06:12:26.384000Z,59.9579,-152.7842,102.8,4.0
2022-02-05T05:20:46.693000Z,53.6045,-163.319,21.22,4.0
2022-02-05T05:10:29.074000Z,53.5794,-163.2485,14.44,4.3
2022-02-04T05:33:25.422000Z,55.1485,-154.8799,12.0,4.2
2022-02-04T04:12:42.572000Z,63.0155,-150.4388,96.0,4.3
2022-02-03T23:53:31.646000Z,54.2697,-161.5975,31.22,5.4
2022-02-02T23:54:50.928000Z,53.1707,-166.6957,35.0,4.6
2022-02-02T09:07:35.122000Z,51.3421,-178.3462,45.92,4.3
2022-01-30T19:58:10.119000Z,53.2231,-166.7591,51.22,4.3
2022-01-29T10:23:00.165000Z,53.8399,-164.071,35.0,4.6
2022-01-29T09:56:15.284000Z,53.7654,-164.0172,35.0,4.5
2022-01-29T09:33:54.346000Z,53.8026,-164.0266,35.0,4.8
2022-01-25T22:52:43.024000Z,51.2469,-170.9388,10.0,4.0
2022-01-24T06:09:22.726000Z,53.2788,-166.7935,43.78,5.0
2022-01-23T19:10:42.127000Z,53.1216,-166.5848,38.98,4.6
2022-01-22T18:04:25.762000Z,55.5225,-155.7063,21.4,4.3
2022-01-22T05:19:05.208000Z,53.221,-166.8158,35.0,4.6
2022-01-22T05:17:04.896000Z,53.2402,-166.682,29.0,6.2
2022-01-21T05:18:26.444000Z,60.3163,-152.3603,115.3,5.1
2022-01-20T17:23:30.091000Z,53.0371,-170.6434,121.47,4.5
2022-01-20T11:37:14.528000Z,56.1216,-156.1809,47.2,4.1
2022-01-20T08:50:55.982000Z,51.6695,-175.6255,48.2,4.0
2022-01-19T23:24:20.711000Z,50.9201,-179.108,10.0,4.0
2022-01-15T00:22:53.174000Z,52.4373,-167.9724,23.69,4.0
2022-01-14T10:55:41.711000Z,52.2716,-167.9031,8.94,4.1
2022-01-13T05:47:12.055000Z,51.2444,-179.1222,45.39,5.0
2022-01-13T01:45:59.652000Z,51.1359,-179.9211,36.55,5.1
2022-01-12T14:28:12.004000Z,52.3613,-167.8805,16.88,4.6
2022-01-12T05:29:05.455000Z,52.1542,-167.7604,10.0,4.0
2022-01-12T02:31:59.172000Z,52.3991,-167.3752,4.85,4.7
2022-01-11T22:15:44.539000Z,52.2674,-167.9384,31.79,4.6
2022-01-11T18:18:15.025000Z,52.37,-167.9858,17.34,4.2
2022-01-11T18:01:39.557000Z,52.343,-168.1755,10.0,4.1
2022-01-11T17:03:55.966000Z,52.3511,-167.742,10.0,4.1
2022-01-11T16:16:07.315000Z,52.3038,-168.3232,10.0,4.0
2022-01-11T15:27:13.771000Z,52.4214,-167.7957,10.0,4.8
2022-01-11T15:24:15.058000Z,52.5867,-173.2955,187.46,4.2
2022-01-11T14:49:28.980000Z,52.3484,-168.1567,10.0,4.2
2022-01-11T14:43:25.713000Z,52.376,-168.0855,10.0,4.7
2022-01-11T14:16:13.377000Z,52.3466,-167.5852,10.0,4.2
2022-01-11T13:57:05.743000Z,52.3428,-167.6702,10.0,4.0
2022-01-11T13:50:20.738000Z,52.3577,-167.6126,10.0,4.4
2022-01-11T13:00:40.629000Z,52.2313,-168.0074,10.0,4.5
2022-01-11T12:55:17.488000Z,52.134,-167.8137,16.6,4.7
2022-01-11T12:53:49.938000Z,52.6548,-168.0527,45.02,5.8
2022-01-11T12:39:31.515000Z,52.6047,-168.155,11.23,6.6
2022-01-11T12:37:56.508000Z,52.5601,-168.0878,35.31,4.6
2022-01-11T12:04:11.488000Z,51.698,-167.5998,10.0,4.3
2022-01-11T11:54:06.289000Z,52.4009,-167.9292,37.26,4.8
2022-01-11T11:45:55.935000Z,52.5015,-168.02,32.19,5.4
2022-01-11T11:41:39.972000Z,52.2783,-167.827,25.6,4.0
2022-01-11T11:41:22.107000Z,52.2284,-167.8712,25.1,4.1
2022-01-11T11:35:46.156000Z,52.6563,-167.9169,22.32,6.8
2022-01-11T10:35:11.240000Z,53.0058,-171.4565,118.27,4.8
2022-01-11T05:25:16.774000Z,58.6643,-152.5048,2.2,4.4
2022-01-10T13:21:17.272000Z,50.1238,-176.9937,10.0,4.0
2022-01-05T14:30:19.031000Z,57.763,-155.1981,12.9,4.4
2022-01-05T14:23:42.495000Z,56.1994,-154.3888,38.3,4.4
2022-01-03T11:58:59.396000Z,53.518,-165.9066,49.79,4.2
2021-12-30T13:24:36.360000Z,57.2462,-154.9548,57.8,4.9
2021-12-29T18:05:23.537000Z,56.748,-153.1367,4.9,4.3
2021-12-29T03:23:18.964000Z,52.495,-169.6915,46.22,4.3
2021-12-25T23:10:13.392000Z,54.7991,-157.8686,9.8,4.5
2021-12-25T10:15:55.942000Z,55.149,-156.7983,2.6,4.2
2021-12-21T22:42:15.051000Z,60.1237,-153.2742,151.2,5.9
2021-12-21T17:02:03.983000Z,52.7042,-168.1614,42.72,4.3
2021-12-21T16:59:50.672000Z,52.7011,-168.159,35.0,4.0
2021-12-18T22:04:50.086000Z,59.8591,-153.7981,163.0,4.7
2021-12-16T18:57:55.437000Z,56.7414,-153.153,11.0,4.3
2021-12-14T01:22:44.989000Z,54.8538,-157.9247,4.3,4.0
2021-12-14T01:15:31.753000Z,51.3257,-177.586,35.0,4.0
2021-12-14T00:05:05.504000Z,51.6511,-173.2704,38.7,4.0
2021-12-14T00:02:13.291000Z,54.8586,-157.9358,10.0,4.3
2021-12-12T12:41:08.731000Z,53.6936,-164.9123,47.17,4.5
2021-12-12T09:55:29.240000Z,55.4143,-157.4797,7.9,4.8
2021-12-10T07:12:49.005000Z,51.6555,-173.9399,44.29,4.3
2021-12-06T22:20:49.846000Z,55.7208,-155.9557,33.4,4.5
2021-12-06T08:15:40.561000Z,54.7481,-157.8046,10.0,4.1
2021-12-05T01:01:21.801000Z,51.9767,-167.0703,10.0,5.2
2021-12-02T21:42:57.329000Z,51.3011,-174.7942,32.02,4.3
2021-11-22T11:27:09.744000Z,58.2894,-155.9455,141.3,4.3
2021-11-22T11:27:08.426000Z,58.2332,-155.7998,145.5,4.1
2021-11-22T05:27:57.472000Z,63.0537,-151.5191,6.2,4.1
2021-11-19T18:23:05.813000Z,56.5495,-157.0677,56.7,4.2
2021-11-18T09:50:37.224000Z,51.3617,-178.3258,48.47,5.2
2021-11-18T03:20:48.693000Z,54.7508,-159.6323,28.76,4.2
2021-11-15T09:19:14.422000Z,55.8296,-155.5231,10.4,4.3
2021-11-14T21:47:18.917000Z,52.7196,-174.5024,217.48,4.1
2021-11-11T18:58:50.859000Z,59.6404,-153.1243,109.4,4.0
